Rainbow Group,Category,Question,Answer,Page,predicted_keyword_Page,predicted_keyword_PageRecall,predicted_keyword_PagePrec,predicted_keyword_Hit,predicted_vector_Page,predicted_vector_PageRecall,predicted_vector_PagePrec,predicted_vector_Hit,predicted_fused_Page,predicted_fused_PageRecall,predicted_fused_PagePrec,predicted_fused_Hit
 Construction-Related, Repair Method / Material / Environmental,Question (TH) :ในการซ่อมแซมรูฟองอากาศ (Voids) ที่มีขนาดความกว้าง 5 มม. และลึก 5 มม. โดยใช้วัสดุ Sika Skim Coat ผู้ปฏิบัติงานต้องปฏิบัติตามมาตรการป้องกันผลกระทบต่อสิ่งแวดล้อมด้านคุณภาพน้ำสำหรับวัสดุประเภทนี้อย่างไร,Answer (TH) :1. การเลือกวิธีซ่อม: รูฟองอากาศขนาดกว้างและลึก ≤ 10 มม. ให้ซ่อมด้วย Cementitious Mortar (RP-TN-04)2. มาตรการสิ่งแวดล้อม (สำหรับวัสดุซ่อมแบบผง - Sika Skim Coat):   - ปิดทางระบายท่อน้ำทิ้ง แล้วกำจัดน้ำที่ปนเปื้อนในท่อระบายออก   - ห้ามทิ้งน้ำที่ปนเปื้อนลงพื้นดินโดยเด็ดขาด   - แบ่งพื้นที่สำหรับงานซ่อมแซม ห้ามใช้วัสดุซ่อมนอกพื้นที่ที่จัดเตรียมไว้   - หากบรรจุภัณฑ์ฉีกขาด ให้เปลี่ยนบรรจุภัณฑ์ใหม่ หรือภาชนะที่ปิดมิดชิดได้," 6, 8, 135","46, 102, 8, 45",0.3333,0.25,1,"45, 46, 111, 60, 110",0.0,0.0,0,"46, 45, 60, 8",0.3333,0.25,1
 Construction-Related, Repair Method / Material / Human Risk,Question (TH) :หากช่างซ่อมบำรุงเผลอกลืนวัสดุ Sikadur 52 TH (Part B) ในระหว่างการทำงานซ่อมแซมรอยร้าว ตามข้อมูลความปลอดภัยของวัสดุ (Material Safety Data) จะเกิดผลกระทบอย่างไรและมีวิธีปฐมพยาบาลเบื้องต้นอย่างไร,Answer (TH) :1. ผลกระทบ: อาจเป็นอันตรายถึงตายได้ (ทำให้ผิวหนังไหม้อย่างรุนแรงเมื่อสัมผัส และเป็นอันตรายเมื่อกลืน)2. การปฐมพยาบาล:   - บ้วนปากแล้วดื่มน้ำสะอาดตามเป็นปริมาณมาก   - ห้ามทำให้อาเจียนโดยเด็ดขาด   - พาไปพบแพทย์โดยทันที, 130,"129, 130, 8, 125, 137",1.0,0.2,1,"67, 106, 29",0.0,0.0,0,"129, 67, 130, 106, 8",1.0,0.2,1
 Construction-Related, Repair Method / Material,Question (TH) :ในขั้นตอนการซ่อมแซมรอยแตกบิ่นที่ขอบ (Spalling Edge Repair) ตามวิธี RP-TN-03 ต้องใช้วัสดุเชื่อมประสานคอนกรีต Sikadur 32 TH อัตราส่วนผสมโดยน้ำหนักเป็นเท่าใด และตาม Data Sheet มีค่า Pot Life ที่ 20°C นานเท่าใด,Answer (TH) :1. อัตราส่วนผสม (RP-TN-03): A:B = 2:1 โดยน้ำหนัก2. Pot Life ที่ 20°C (Data Sheet): 40 นาที," 26, 59","4, 29, 7, 26, 24",0.5,0.2,1,"7, 4, 24, 29, 5",0.0,0.0,0,"4, 7, 29, 24, 5",0.0,0.0,0
 Non-Construction Questions, Documentation / Quality Control,"Question (TH) :หากต้องการบันทึกการซ่อมแซมชิ้นส่วนอุโมงค์ประเภท ""Counter Key"" จะต้องใช้แบบฟอร์มหมายเลขใด และในส่วนของการยอมรับ (Acceptance) ต้องมีการลงนามโดยตำแหน่งใดบ้าง",Answer (TH) :1. แบบฟอร์ม: TUNNEL-QCY-RN-412. ผู้ลงนาม:   - Production Engineer   - QC Engineer   - Consultant, 141,"141, 142, 140, 8, 59",1.0,0.2,1,"67, 106, 43, 8",0.0,0.0,0,"141, 8, 29, 67, 142",1.0,0.2,1
 Construction-Related, Repair Method / Material,Question (TH) :จากการตรวจสอบพบรอยร้าว (Hard Crack) ขนาดกว้าง 0.4 มม. ลึก 20 มม. จะต้องใช้วิธีการซ่อมแซมรหัสใด และหากเลือกใช้วัสดุ Sikadur 52TH จะต้องใช้อัตราส่วนผสมระหว่างวัสดุ A และ B เท่าใด,Answer (TH) :1. วิธีซ่อมแซม: RP-TN-02 (Repair with Epoxy Resin) เนื่องจากรอยร้าวอยู่ระหว่าง 0.3-0.5 มม. และลึก > 15 มม.2. อัตราส่วนผสม Sikadur 52TH: ส่วนผสม A : ส่วนผสม B = 2 : 1," 3, 17","60, 46, 3, 102, 61",0.5,0.2,1,"60, 3, 13, 71, 46",0.5,0.2,1,"60, 3, 46, 13, 102",0.5,0.2,1
 Construction-Related, Repair Method / Human Risk,Question (TH) :ในขั้นตอนการซ่อมแซมรอยร้าวด้วย Cementitious Mortar (RP-TN-01) หากมีการใช้เครื่องเจียรคอนกรีตเพื่อขัดแต่งผิว ตามการประเมินความเสี่ยง (Risk Assessment) มีอันตรายที่อาจเกิดขึ้นอะไรบ้าง และระดับความเสี่ยงเริ่มต้น (Initial Risk Rating) มีค่าเท่าใด,"Answer (TH) :1. อันตราย: ไฟฟ้าดูด, โดนใบเจียรบาด2. ระดับความเสี่ยงเริ่มต้น (Initial Risk Rating): 12 (คำนวณจาก HCR 4 x PR 3)"," 13, 121","122, 121, 120, 7",0.5,0.25,1,"122, 7, 121, 120, 9",0.5,0.2,1,"122, 7, 120, 121",0.5,0.25,1
 Construction-Related, Material / Environmental / Preventive Measures,Question (TH) :หากเกิดเหตุเพลิงไหม้ในพื้นที่จัดเก็บวัสดุ Sikadur 41 CF Normal (วัสดุซ่อมแบบของเหลว) ควรใช้อุปกรณ์ดับเพลิงชนิดใดบ้าง และมีข้อห้ามในการใช้อุปกรณ์ดับเพลิงประเภทใดในระยะแรกเพื่อลดอุณหภูมิ,"Answer (TH) :1. อุปกรณ์ดับเพลิงที่ใช้ได้: โฟมดับเพลิงชนิดทนแอลกอฮอล์, ถังดับเพลิงชนิด CO2, ถังดับเพลิงแบบผง2. ข้อห้าม: ห้ามใช้เครื่องฉีดน้ำแรงดันสูงโดยเด็ดขาด (ใช้น้ำฉีดลดอุณหภูมิได้หากอยู่ห่าง)"," 137, 138","137, 26, 8, 52, 55",0.5,0.2,1,"137, 55, 67, 52, 47",0.5,0.2,1,"137, 55, 52, 8",0.5,0.25,1
 Construction-Related, Repair Method / Guideline for Repair,Question (TH) :หากพบรอยแตกบิ่นที่ขอบ (Spalling Edge) แบบ Chamfered Edge มีขนาด A=60 มม. B=60 มม. ตาม Guideline จะต้องดำเนินการอย่างไร,Answer (TH) :Action: Reject (ปฏิเสธชิ้นงาน/ไม่ซ่อมแซม) เนื่องจากขนาดความเสียหายเกินเกณฑ์ที่กำหนดสำหรับการซ่อมแซม (5-50 มม.), 4,"4, 102, 61, 142, 140",1.0,0.2,1,"4, 24, 70, 6, 48",1.0,0.2,1,"4, 24, 102, 61, 70",1.0,0.2,1
 Construction-Related, Material / Repair Method,Question (TH) :วัสดุ Conpatch 300 ได้รับอนุมัติให้ใช้ในงานซ่อมแซมลักษณะใดตามหนังสืออนุมัติ และมีอัตราส่วนผสมปูนต่อน้ำตามคู่มือการซ่อมแซม (RP-TN-01/04) เท่าใด,Answer (TH) :1. ลักษณะงานที่อนุมัติ: ซ่อมแซมพื้นผิวคอนกรีตแบบบางที่มีตำหนิ อันเกิดจากรอยขูดขีดขนาดเล็ก หรือฟองอากาศจากงานหล่อคอนกรีต2. อัตราส่วนผสม: ปูน : น้ำ = 1 : 0.2 โดยน้ำหนัก," 11, 148","7, 8, 26, 34, 12",0.0,0.0,0,"26, 7, 12, 136, 34",0.0,0.0,0,"7, 26, 12, 34, 130",0.0,0.0,0
 Construction-Related, Material / Human Risk,Question (TH) :ในการใช้งานปูนฉาบแต่งตราผึ้ง 124 ซึ่งเป็นวัสดุแบบผง ความเสี่ยงด้านสุขภาพจากการสูดดมคืออะไร และวิธีกรลดความเสี่ยงที่ระบุไว้ใน Risk Assessment คืออะไร,"Answer (TH) :1. ความเสี่ยงจากการสูดดม: ระคายเคืองระบบทางเดินหายใจ, วิงเวียนศีรษะ, หมดสติ2. วิธีการลดความเสี่ยง:   - กำหนดเวลาในการทำงานร่วมกับสารเคมีที่เป็นฝุ่นผง หรือสารระเหย   - สวมหน้ากากป้องกันที่เหมาะสมกับลักษณะสารเคมี   - กำหนดพื้นที่การทำงาน   - ตรวจสุขภาพผู้ปฏิบัติงาน เพื่อป้องกันผลกระทบในระยะยาว", 121,"122, 120, 121, 8, 123",1.0,0.2,1,"106, 122, 121, 123",1.0,0.25,1,"122, 121, 123, 101, 106",1.0,0.2,1
