Question,Answer,Page
 อัตราส่วนผสมน้ำ (Mixing water) สำหรับ Renderoc Skimcoat ต่อถุง 25 กิโลกรัม คือเท่าใด, อัตราส่วนผสมน้ำสำหรับ Renderoc Skimcoat มีดังนี้:1. Base Coat: 7 – 7.5 ลิตร/ถุง2. Finish Coat: 7.5 – 8 ลิตร/ถุง, 100
 ความหนา (Thickness) และพื้นที่การใช้งาน (Coverage) ของ Renderoc Skimcoat Base Coat คือเท่าใด, สำหรับ Renderoc Skimcoat Base Coat:- ความหนา: 0.5 – 5.0 มม.- พื้นที่การใช้งาน: 3.8 – 35 ตร.ม./ถุง, 100
 ขั้นตอนการเตรียมพื้นผิว (Surface Preparation) สำหรับ Bee Brand No. 124 Skim Coat Mortar มีอะไรบ้าง, ขั้นตอนการเตรียมพื้นผิวมีดังนี้:1. ทำความสะอาดพื้นผิวให้ปราศจากสิ่งสกปรก เศษวัสดุ คราบน้ำมัน สี เคมี และอื่นๆ2. ใช้น้ำทำความสะอาดและปล่อยให้หมาด (Partially dry) ก่อนทำการฉาบหรือรีดบนพื้นผิว, 102
 อัตราส่วนผสมน้ำต่อปูน Bee Brand No. 124 (20 กก.) และวิธีการผสมที่ถูกต้องคืออย่างไร, อัตราส่วนผสมคือ น้ำ 7.5-8.5 ลิตร ต่อปูน 1 ถุง (20 กก.) โดยควรใช้สว่านในการผสมให้เป็นเนื้อเดียวกัน และไม่ควรผสมนานเกินไปเพราะอาจทำให้เกิดฟองอากาศ, 102
 ข้อจำกัดความหนาในการฉาบปูน Bee Brand No. 124 ต่อชั้นคือเท่าใด, ควรฉาบหรือรีดที่ความหนา 1-2 มม. หากต้องการความหนาเกิน 2 มม. ควรฉาบหรือรีดทีละชั้น โดยแต่ละชั้นหนาไม่เกิน 2 มม., 102
 ข้อห้ามในการใช้งานปูน Bee Brand No. 124 หลังจากการผสมแล้วมีอะไรบ้าง, ข้อห้ามในการใช้งานมีดังนี้:1. ควรใช้ให้หมดภายใน 1 ชั่วโมงหลังจากผสมน้ำ2. ไม่ควรเติมน้ำอีกในระหว่างการใช้งาน3. ห้ามนำปูนที่เริ่มมีการเซ็ทตัวแล้วมาใช้, 102
 กำลังอัด (Compressive Strength) ที่อายุ 28 วัน ของปูน Bee Brand No. 124 และ 124W คือเท่าใด, กำลังอัดที่อายุ 28 วัน ของ Bee Brand No. 124 และ 124W คือ 20.0 MPa, 109
 ส่วนประกอบหลักของ Bee Brand High Strength Repair Mortar No. 135/135 F มีอะไรบ้าง," ประกอบด้วย ปูนซีเมนต์ปอร์ตแลนด์, ทรายคัดขนาด (Fine aggregate), ซิลิก้าฟูม (Silica fume), และเคมีผสมเพิ่ม (Admixtures) โดยเฉพาะรุ่น No. 135 F จะมีส่วนผสมของ Cellulose Fiber เพิ่มเติม", 115
 ขั้นตอนการเตรียมพื้นผิวสำหรับการซ่อมแซมด้วย Bee Brand No. 135/135 F คืออย่างไร, ขั้นตอนการเตรียมพื้นผิวมีดังนี้:1. สกัดผิวหน้าหรือพ่นทรายเพื่อเอาคอนกรีตที่ไม่ดีออก อย่างน้อย 10 มม. (ควรมีขอบตั้งฉาก 10 มม.)2. ทำความสะอาดให้ปราศจากฝุ่นและคราบน้ำมัน3. ทำให้พื้นผิวอิ่มตัวด้วยน้ำ (Saturated with water) อย่างน้อย 1 ชั่วโมงก่อนการเท และกำจัดน้ำส่วนเกินออก," 114, 115"
 ข้อกำหนดการบ่ม (Curing) สำหรับ Bee Brand High Strength Repair Mortar No. 135/135 F เป็นอย่างไร," ควรบ่มอย่างน้อย 1-3 วัน โดยเมื่อคอนกรีตเริ่มแข็งตัว ให้รักษาความชื้นอย่างต่อเนื่องไม่น้อยกว่า 24 ชั่วโมง ด้วยการพ่นน้ำ, ขังน้ำ, หรือใช้กระสอบเปียก และป้องกันจากอุณหภูมิที่ต่ำกว่า 5°C หรือสูงกว่า 35°C เป็นเวลาอย่างน้อย 72 ชั่วโมง"," 114, 115"
