คำถาม,หมวดหมู่,ผู้รับผิดชอบต้องตอบ
ระยะหุ้มคอนกรีตด้านล่าง และด้านข้างเท่าเท่าไหร่ในงาน Precast อุโมงค์,Reinforcement work,Quality Control (QC) Engineer
Tolerance ของระยะหุ้มคอนกรีต ในงาน Precast อุโมงค์ +- เท่าใด,Reinforcement work,Quality Control (QC) Engineer
Concrete ใช้ Mix Code อะไร,Pouring Concrete,Production Engineer
ค่าการยุบตัว Slump เท่าใด,Pouring Concrete,Production Engineer
Defect Void มีขนาดเท่าไหร่ ถึงจะซ่อม,Repair Work,Quality Control (QC) Engineer
วัสดุซ่อม ที่ใช้ซ่อม Defect แต่ละอย่าง ใช้อะไรบ้าง,Repair Work,Production Engineer
คอนกรีตควรเทให้หมดภายในกี่นาที,Pouring Concrete,Production Engineer
น้ำมันทาแบบที่ Appove มียี่ห้ออะไร,Material,Quality Control (QC) Engineer
น้ำยาบ่มคอนกรีต ที่ Appove ใช้ยี่ห้ออะไร,Material,Quality Control (QC) Engineer
เหล็กเส้นรูปพรรณที่ใช้ในโครงสร้าง ใช้ SD เท่าใด,Reinforcement work,Quality Control (QC) Engineer
ระยะความยาวของแบบหล่อต้องเป็นเท่าใด,Mold Preparation work,Production Engineer
ระยะความกว้างของแบบหล่อต้องเป็นเท่าใด,Mold Preparation work,Production Engineer
Tolerance ของแบบหล่อกว้างยาวเท่าใด,Mold Preparation work,Quality Control (QC) Engineer
กำลังอัดของคอนกรีตเท่าไหร่ จึงสามารถยกชิ้นงานออกจากแบบหล่อได้,Pouring Concrete,Production Engineer
น้ำมันทาแบบใช้ยี่ห้ออะไร,Material,Production Engineer
ค่าการยอมรับ Tolerance ตำแหน่งของอุปกรณ์ฝังมีค่าเท่าใด,Mold Preparation work,Quality Control (QC) Engineer
เหล็กที่อนุมัติจากโครงการมียี่ห้ออะไร,Material,Quality Control (QC) Engineer
แบบที่ใช้ในโครงการ มี revise ใหม่หรือไม่,Mold Preparation work,Production Engineer
การประกอบ Assembly งานอุโมงค์ มีข้อกำหนดทดสอบ หล่อกี่ Ring จึงทดสอบ,Test work,Quality Control (QC) Engineer
แผนงานการผลิตแต่ละเดือน ต้องผลิตเท่าได,Construction plan,Production Engineer
แผนการขนส่งวันนี้ มีอะไรบ้าง,Transportation for Erection,Production Engineer
