Question,Answer,Page
 เอกสารฉบับนี้จัดทำขึ้นเพื่อวัตถุประสงค์อะไร, เอกสารฉบับนี้จัดทำขึ้นเพื่อเป็นแนวทาง (Guideline) สำหรับการซ่อมผิวคอนกรีตของชิ้นส่วนผนังอุโมงค์ สำหรับโครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา, 2
 ข้อบกพร่องของชิ้นส่วนอุโมงค์ที่สามารถซ่อมแซมได้ตามเอกสารนี้ ต้องมีลักษณะอย่างไร, ความเสียหายหรือข้อบกพร่องต้องไม่มีผลกระทบต่อโครงสร้างหลักของชิ้นส่วนผนังอุโมงค์ตามที่ออกแบบไว้, 2
 เกณฑ์ความเสียหายจากการผลิตที่ยอมรับได้ โดยไม่ต้องทบทวนกระบวนการผลิตคือเท่าใด, ความเสียหายจากการผลิตต้องไม่เกิน 5% ของจำนวน Rings ที่ผลิตได้, 2
 เกณฑ์ความเสียหายจากการขนส่งและการขนย้ายที่ยอมรับได้ คือเท่าใด, ความเสียหายจากการขนส่งและการขนย้ายต้องไม่เกิน 2% ของจำนวน Rings ของการขนส่ง, 2
 ความเสียหายที่เกิดขึ้นกับชิ้นงานแบ่งออกเป็น 4 ลักษณะ อะไรบ้าง, ความเสียหายแบ่งเป็น:1. รอยร้าว (Crack)2. แตกบิ่นที่ขอบ (Spalling Edge)3. แตกบิ่นบริเวณ Gasket (Spalling Recesses)4. รูฟองอากาศ (Voids or Blowholes), 2
" เกณฑ์การพิจารณา ""ไม่ต้องซ่อมแซม"" (No Repair) สำหรับรอยร้าวประเภท Hard Crack คืออะไร", เมื่อรอยร้าวมีความกว้าง (A) น้อยกว่าหรือเท่ากับ 0.1 มม., 3
" เกณฑ์การพิจารณา ""ไม่ต้องซ่อมแซม"" (No Repair) สำหรับรอยร้าวประเภท Shrinkage Crack คืออะไร", เมื่อรอยร้าวมีความกว้าง (B) น้อยกว่าหรือเท่ากับ 0.3 มม. และมีความลึกน้อยกว่า 15 มม., 3
 วิธีการซ่อมแซมรอยร้าวประเภท Hard Crack ที่มีความกว้างมากกว่า 0.1 มม. แต่น้อยกว่า 0.3 มม. คือวิธีใด, ซ่อมแซมด้วย Cementitious Mortar (วิธีการอ้างอิง RP-TN-01), 3
 หากรอยร้าวมีความกว้างตั้งแต่ 0.3 มม. ถึง 0.5 มม. และมีความลึกมากกว่า 15 มม. ต้องซ่อมแซมด้วยวิธีใด, ซ่อมแซมด้วย Epoxy Resin (วิธีการอ้างอิง RP-TN-02), 3
" เกณฑ์การปฏิเสธชิ้นงาน (Reject) สำหรับความเสียหายประเภท ""รอยร้าว"" (Crack) คืออะไร", เมื่อรอยร้าวมีความกว้างมากกว่า 0.5 มม. หรือมีความลึกถึงชั้น Hydro swelling (Depth to hydro swelling), 3
 ลักษณะตำแหน่งการแตกบิ่นที่ขอบ (Spalling Edge) แบ่งออกเป็น 3 แบบ คืออะไรบ้าง, 1. Sharp Edge2. Chamfered Edge3. At Corners, 4
" เกณฑ์ขนาดความเสียหายของ Spalling Edge ที่ ""ไม่ต้องซ่อมแซม"" (No Repair) คือเท่าใด"," เมื่อขนาดความเสียหาย A, B และ C มีค่าน้อยกว่า 5 มม.", 4
 ช่วงขนาดความเสียหายของ Spalling Edge ที่ต้องซ่อมแซมด้วย Cementitious Mortar (RP-TN-03) คือเท่าใด,- ด้าน A: 5-50 มม.- ด้าน B: 5-50 มม.- ด้าน C: 5-70 มม., 4
 เกณฑ์การปฏิเสธชิ้นงาน (Reject) สำหรับ Spalling Edge ในกรณีที่วัดขนาดความเสียหาย คือเท่าใด, เมื่อขนาดความเสียหาย A > 50 มม. หรือ B > 50 มม. หรือ C > 70 มม., 4
 นอกเหนือจากขนาดความเสียหาย หากเกิด Spalling Edge แล้วพบสิ่งใด จึงถือว่าต้องปฏิเสธชิ้นงาน (Reject) ทันที, เมื่อเหล็กเสริมโผล่ (Rebar exposed), 4
" เกณฑ์ขนาดความเสียหายบริเวณร่อง Gasket (Spalling Recesses) ที่ ""ไม่ต้องซ่อมแซม"" คือเท่าใด", เมื่อขนาดความเสียหาย A < 2 มม. และ B < 2 มม., 5
 วิธีการซ่อมแซมความเสียหายประเภท Spalling Recesses คือวิธีใด และอ้างอิง Method ใด, ซ่อมแซมด้วย Cementitious Mortar ตามวิธีการอ้างอิง RP-TN-03, 5
 ช่วงขนาดความเสียหายของ Spalling Recesses ที่สามารถซ่อมแซมได้คือเท่าใด,- ด้าน A: 2-10 มม.- ด้าน B: 5-30 มม.- ด้าน C: 0-10 มม., 5
 เกณฑ์การปฏิเสธชิ้นงาน (Reject) สำหรับความเสียหายประเภท Spalling Recesses คือเท่าใด, เมื่อขนาดความเสียหาย A > 10 มม. หรือ B > 30 มม. หรือ C > 10 มม., 5
 การตรวจสอบรูฟองอากาศ (Voids or Blowholes) แบ่งตำแหน่งการตรวจสอบเป็นกี่จุด อะไรบ้าง, แบ่งเป็น 3 จุด ได้แก่:A. Outside Surface (ผิวด้านนอก)B. Inside Surface (ผิวด้านใน)C. Gasket Surface (ผิวบริเวณ Gasket), 6
" เกณฑ์ ""ไม่ต้องซ่อมแซม"" สำหรับรูฟองอากาศบริเวณ Outside Surface และ Inside Surface คืออะไร"," ไม่มีการกำหนดขนาดสำหรับการ ""ไม่ซ่อมแซม"" ที่ผิว Outside และ Inside (ในตารางระบุ No Repair เฉพาะบริเวณ Gasket Surface ที่กว้าง < 2 มม. หรืออาจอนุมานว่าหากน้อยกว่าเกณฑ์ซ่อมก็ไม่ต้องซ่อม แต่ตามตารางระบุค่า Wide < 2 mm. ในช่อง C เท่านั้น) *หมายเหตุ: ตารางระบุ No Repair โดยมีเงื่อนไข Wide: <2 ในคอลัมน์ C เท่านั้น*", 6
 หากพบรูฟองอากาศ (Voids) กว้างไม่เกิน 10 มม. และลึกไม่เกิน 10 มม. ควรซ่อมแซมด้วยวิธีใด, ซ่อมแซมด้วย Cementitious Mortar (วิธีการอ้างอิง RP-TN-04), 6
 หากพบรูฟองอากาศ (Voids) ที่มีความกว้างมากกว่า 10 มม. หรือความลึกมากกว่า 10 มม. ควรซ่อมแซมด้วยวิธีใด, ซ่อมแซมด้วย High Strength Mortar (วิธีการอ้างอิง RP-TN-05), 6
 เกณฑ์การปฏิเสธชิ้นงาน (Reject) สำหรับความเสียหายประเภทรูฟองอากาศ (Voids or Blowholes) คืออะไร, เมื่อเหล็กเสริมโผล่ (Rebar exposed), 6
 วิธีการซ่อมแซม RP-TN-01 ใช้สำหรับความเสียหายประเภทใด และใช้วัสดุอะไร, ใช้สำหรับซ่อมรอยร้าว (Crack) โดยใช้วัสดุประเภท ปูนฉาบซ่อม (Cementitious Mortar), 7
 วิธีการซ่อมแซม RP-TN-02 ใช้วัสดุประเภทใด, อีพ็อกซี่เรซิ่น (Epoxy Resin), 7
 การซ่อมแซม Spalling Edge และ Spalling Recesses ใช้วิธีการอ้างอิงใดร่วมกัน, วิธีการอ้างอิง RP-TN-03, 7
" วัสดุประเภท ""ปูนฉาบซ่อมกำลังอัดสูง"" (High Strength Mortar) ใช้กับวิธีการซ่อมแซมรหัสใด", RP-TN-05, 7
" วัสดุชื่อ ""Sika Skim Coat"" เป็นวัสดุซ่อมประเภทใด", ปูนฉาบซ่อม (Cementitious Mortar), 8
" ปูนฉาบซ่อม ""Renderoc Skim Coat"" เป็นผลิตภัณฑ์ของแบรนด์ใด", FOSROC, 8
 ปูนฉาบตราผึ้ง 124 และ 124L มีสถานะการใช้งานอย่างไรในโครงการนี้, ได้รับการอนุมัติใช้งาน, 8
" วัสดุ ""Conpatch 300"" ของแบรนด์ CORMIX มีสถานะการใช้งานอย่างไร", ได้รับการอนุมัติใช้งาน, 8
" วัสดุปูนฉาบซ่อมกำลังอัดสูง ""ปูนฉาบตราผึ้ง 135F"" มีสถานะการใช้งานอย่างไร", เสนอขออนุมัติใช้งาน, 8
 วัสดุ Epoxy Resin ที่เสนอขออนุมัติใช้งานคือรุ่นใด, Sikadur 52 TH (แบรนด์ SIKA) และ Condur SC (แบรนด์ CORMIX), 8
 วัสดุประเภทอีพ็อกซี่มอร์ต้าร์ (Epoxy Mortar) ที่เสนอขออนุมัติใช้งานมีชื่อรุ่นอะไรบ้าง, Sikadur 41 CF Normal และ Sikadur 31 CF Normal, 8
 วัสดุเชื่อมประสานคอนกรีต (Bonding Agent) ที่ระบุในรายการวัสดุคือรุ่นใด, Sikadur 32 TH, 8
 สำหรับการซ่อมแบบ RP-TN-04 (Voids or Blowholes) ให้ใช้วัสดุประเภทใด, Cementitious Mortar, 7
