Rainbow Group,Category,Question,Answer,Page,predicted_keyword_Page,predicted_keyword_PageRecall,predicted_keyword_PagePrec,predicted_keyword_Hit,predicted_vector_Page,predicted_vector_PageRecall,predicted_vector_PagePrec,predicted_vector_Hit,predicted_fused_Page,predicted_fused_PageRecall,predicted_fused_PagePrec,predicted_fused_Hit
 Construction-Related, Repair Method,เกณฑ์การซ่อมแซมรอยร้าว (Crack Repair) สำหรับรอยร้าวแบบ Hard Crack ที่ต้องซ่อมแซมด้วย Cementitious Mortar คืออะไร,ต้องมีความกว้างของรอยร้าว (A) มากกว่า 0.1 มม. แต่น้อยกว่า 0.3 มม. (0.1 < A < 0.3) และมีความลึกมากกว่า 15 มม.,3,"10, 3, 7, 52, 47",1.0,0.2,1,"7, 10, 3, 9, 142",1.0,0.2,1,"10, 7, 3, 9, 142",1.0,0.2,1
 Non-Construction Questions, General / Admin,ชื่อโครงการ (Project Name) ที่ระบุไว้ในเอกสารคืออะไร,SEWERAGE TUNNEL BUNG NONG BON TO CHAOPHRAYA RIVER,1,"88, 83, 117, 107",0.0,0.0,0,"32, 97, 93, 95, 29",0.0,0.0,0,"93, 95, 88, 32, 83",0.0,0.0,0
 Construction-Related, Material,อัตราส่วนผสม (Mixing Ratio) ของวัสดุ Sikadur 52TH คือเท่าใด,อัตราส่วนผสมคือ วัสดุ A : วัสดุ B = 2 : 1,17,"60, 17, 58, 55",1.0,0.25,1,"60, 123, 13, 71, 70",0.0,0.0,0,"60, 17, 58, 123, 13",1.0,0.2,1
 Construction-Related, Environmental / Preventive Measures,มาตรการป้องกันผลกระทบด้านคุณภาพดินสำหรับวัสดุซ่อมแบบผง กรณีที่มีการรั่วไหลจำนวนมากคืออะไร,ให้ทำการเปลี่ยนบรรจุภัณฑ์หรือภาชนะที่สามารถปิดได้มิดชิด แล้วขนย้ายออกจากจุดที่รั่วไหล จากนั้นให้กวาดวัสดุที่รั่วไหลกองรวมกัน แล้วใช้ผ้า หรือกระสอบ คลุมกองวัสดุเพื่อป้องกันการฟุ้งกระจาย แล้วจึงทำการตักวัสดุซ่อมใส่ถุงดำทิ้งในพื้นที่สำหรับทิ้งสารเคมี,136,unknown,0.0,0.0,0,"50, 55, 116, 46, 24",0.0,0.0,0,"50, 55, 116, 46, 24",0.0,0.0,0
 Construction-Related, Human Risk,อันตรายที่อาจเกิดขึ้นจากการใช้เครื่องเจียรคอนกรีตมีอะไรบ้าง,ไฟฟ้าดูด และ โดนใบเจียรบาด,121,unknown,0.0,0.0,0,"67, 127, 97, 59, 116",0.0,0.0,0,"67, 127, 97, 59, 116",0.0,0.0,0
 Construction-Related, Repair Method,เกณฑ์การซ่อมแซมสำหรับการแตกบิ่นที่ขอบ (Spalling Edge) ที่ต้องซ่อมด้วย Cementitious Mortar คืออะไร,ขนาดความเสียหายต้องอยู่ในเกณฑ์ดังนี้:- A (mm.): 5-50- B (mm.): 5-50- C (mm.): 5-70,4,"7, 4, 25, 24, 142",1.0,0.2,1,"7, 4, 9, 64, 130",1.0,0.2,1,"7, 4, 2, 25, 9",1.0,0.2,1
 Non-Construction Questions, General / Admin,บริษัทที่ปรึกษา (Consultant) ของโครงการนี้คือบริษัทอะไร,TEAM TWI GFE,140,"142, 140, 141",1.0,0.3333,1,"75, 39, 66, 142",0.0,0.0,0,"142, 140, 141, 75, 39",1.0,0.2,1
 Construction-Related, Material,ระยะเวลาการใช้งาน (Potlife) ของ Sikadur-31 CF Normal ที่อุณหภูมิ +30°C คือเท่าใด,ประมาณ 35 นาที (สำหรับปริมาณ 200 กรัม),51,"47, 55, 50, 52",0.0,0.0,0,"47, 55, 50, 52",0.0,0.0,0,"47, 55, 50, 52",0.0,0.0,0
 Construction-Related, Environmental / Preventive Measures,อุปกรณ์ที่ใช้ดับเพลิงในกรณีเกิดเพลิงไหม้วัสดุซ่อมแบบผงมีอะไรบ้าง,1. โฟมดับเพลิงชนิดทนแอลกอฮอล์2. ถังดับเพลิงชนิด CO23. ถังดับเพลิงแบบผง,136,unknown,0.0,0.0,0,"114, 115, 109",0.0,0.0,0,"114, 115, 109",0.0,0.0,0
 Construction-Related, Human Risk,การปฐมพยาบาลเบื้องต้นกรณี Sika Skim Coat เข้าตาคืออะไร,ถอดคอนแทคเลนส์ ใช้น้ำสะอาดล้างดวงตาอย่างต่อเนื่อง ไม่น้อยกว่า 10 นาที พาไปพบแพทย์ทันที,125,"45, 46, 27, 34, 18",0.0,0.0,0,"45, 46, 8, 27",0.0,0.0,0,"45, 46, 27, 8, 34",0.0,0.0,0
 Construction-Related, Repair Method,ขั้นตอนการเตรียมพื้นผิวสำหรับการซ่อมรูฟองอากาศ (Voids and Blowholes) ด้วย High Strength Mortar ในข้อ 3.1 คืออะไร,ใช้กระดาษทรายขัดขอบรูฟองอากาศเพื่อให้การซ่อมแซมทำได้เต็มพื้นที่,40,"38, 39, 6, 7, 52",0.0,0.0,0,"39, 52, 103, 115, 47",0.0,0.0,0,"39, 38, 52, 33, 115",0.0,0.0,0
 Non-Construction Questions, General / Admin,หมายเลขเอกสาร (Document No.) ของ Guideline for Repair คืออะไร,TB-RP-01,1,"5, 25, 4, 3, 6",0.0,0.0,0,"5, 142, 141, 140, 136",0.0,0.0,0,"5, 142, 4, 141, 140",0.0,0.0,0
 Construction-Related, Material,กำลังอัด (Compressive Strength) ของ Bee Brand No. 135/135F ที่อายุ 28 วัน คือเท่าใด,"60 MPa (7,300 psi)",115,"114, 113, 115, 8",1.0,0.25,1,"113, 114, 115, 66, 8",1.0,0.2,1,"114, 113, 115, 8",1.0,0.25,1
 Construction-Related, Environmental / Preventive Measures,มาตรการป้องกันผลกระทบด้านคุณภาพน้ำ สำหรับวัสดุซ่อมแบบของเหลว ในกรณีปนเปื้อนในท่อระบายน้ำเสีย คืออะไร,แบ่งพื้นที่สำหรับงานซ่อมแซม ห้ามใช้วัสดุซ่อมนอกพื้นที่ที่จัดเตรียมไว้โดยเด็ดขาด หากบรรจุภัณฑ์ฉีกขาด ให้เปลี่ยนบรรจุภัณฑ์ใหม่ หรือภาชนะที่สามารถปิดมิดชิดได้ ห้ามนำบรรจุภัณฑ์เก่ามาใช้โดยเด็ดขาด และให้กำหนดตัวผู้ที่สามารถใช้วัสดุซ่อมแบบเหลวได้,137,unknown,0.0,0.0,0,"136, 119, 130, 132, 128",0.0,0.0,0,"136, 119, 130, 132, 128",0.0,0.0,0
 Construction-Related, Repair Method,ในการซ่อมแซมรอยร้าวด้วย Epoxy Resin ขนาดความกว้างของร่องที่ต้องเซาะ (V-shape) คือเท่าใด,ความกว้างบริเวณปากร่องประมาณ 3-5 mm.,19,"16, 15, 71, 78, 19",1.0,0.2,1,"8, 3, 16, 15, 48",0.0,0.0,0,"16, 15, 3, 8, 71",0.0,0.0,0
 Non-Construction Questions, General / Admin,บริษัทผู้รับเหมา (Contractor) ที่ดำเนินการซ่อมแซมชิ้นส่วนอุโมงค์คือบริษัทใด,บริษัท ซิโน-ไทย เอ็นจีเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน) (SINO-THAI ENGINEERING & CONSTRUCTION PUBLIC COMPANY LIMITED),1,"142, 140, 141, 63, 97",0.0,0.0,0,"97, 93, 64, 32, 95",0.0,0.0,0,"97, 93, 95, 142, 140",0.0,0.0,0
 Construction-Related, Material,ค่า Bond Strength to Concrete ของ Sikadur-32TH คือเท่าใด,2.5-3 N/mm² (Concrete failure),59,"58, 54, 49, 70",0.0,0.0,0,"58, 70, 115, 47",0.0,0.0,0,"58, 70, 47, 54",0.0,0.0,0
 Construction-Related, Human Risk,ระดับความเสี่ยง (Initial Risk Rating) ของอันตรายจากการสัมผัสสารเคมีจนผิวหนังไหม้ หรืออักเสบ อยู่ในระดับใด,"HCR = 3, PR = 3, RF = 9 (High Risk)",121,"121, 122, 123, 120",1.0,0.25,1,"122, 121, 123, 60",1.0,0.25,1,"121, 122, 123, 120",1.0,0.25,1
 Construction-Related, Repair Method,เกณฑ์การปฏิเสธชิ้นงาน (Reject) สำหรับความเสียหายแบบ Spalling Recesses คืออะไร,เมื่อขนาดความเสียหาย:A > 10 mm.B > 30 mm.C > 10 mm.,5,"5, 4, 142, 140, 141",1.0,0.2,1,"106, 130, 67, 132",0.0,0.0,0,"5, 2, 106, 4",1.0,0.25,1
 Non-Construction Questions, General / Admin,วันที่ (Date) ของเอกสาร EV-TN-01 Issue 1 คือวันที่เท่าใด,14/2/2017,135,"136, 135, 138, 137, 134",1.0,0.2,1,"135, 136, 25, 39, 33",1.0,0.2,1,"136, 135, 138, 25, 137",1.0,0.2,1
